"Final Fantasy Card Name","Original MTG Name","Card Image","Card Set","Card Number","Print Variant","Available Variants","Treatment / Frame","Game Number","Rarity","Type Line","Color Identity","Owned","Non-Foil Qty","Foil Qty","Special Foil Qty","Total Quantity Owned","Condition","Price (USD)","Price (Foil)","Storage Location"
"Summon: Fenrir","","=IMAGE(""https://cards.scryfall.io/normal/front/4/1/412093fb-15c1-4b36-aa53-9484f955ee2c.jpg?1783906513"", 1)","FIN","0372","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF11","Uncommon","Enchantment Creature — Saga Wolf","G","No",0,0,0,0,"Near Mint (NM)",2.06,2.27,""
"Summon: G.F. Cerberus","","=IMAGE(""https://cards.scryfall.io/normal/front/d/0/d0e5cbd4-401b-4456-80bf-d90beadfd1f8.jpg?1784182970"", 1)","FIN","0162","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Rare","Enchantment Creature — Saga Dog","R","No",0,0,0,0,"Near Mint (NM)",0.25,0.47,""
"Summon: G.F. Cerberus","","=IMAGE(""https://cards.scryfall.io/normal/front/5/b/5bb06121-b390-4e3d-8822-4389570b0e15.jpg?1783906173"", 1)","PFIN","162s","Promo","Traditional Foil, Promo","Standard","FF8","Rare","Enchantment Creature — Saga Dog","R","No",0,0,0,0,"Near Mint (NM)","",3.3,""
"Summon: G.F. Cerberus","","=IMAGE(""https://cards.scryfall.io/normal/front/a/5/a5ad1e50-2bf1-4f43-9da4-62a89b521206.jpg?1783906517"", 1)","FIN","0368","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Rare","Enchantment Creature — Saga Dog","R","No",0,0,0,0,"Near Mint (NM)",1.54,3.85,""
"Summon: G.F. Ifrit","","=IMAGE(""https://cards.scryfall.io/normal/front/c/6/c6c73092-5195-4bdc-b039-a699f6e297b2.jpg?1784182974"", 1)","FIN","0163","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF8","Common","Enchantment Creature — Saga Demon","R","No",0,0,0,0,"Near Mint (NM)",0.18,0.28,""
"Summon: G.F. Ifrit","","=IMAGE(""https://cards.scryfall.io/normal/front/2/5/25c3ce9a-39e5-4273-ba67-224a837b75e7.jpg?1783906517"", 1)","FIN","0369","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Common","Enchantment Creature — Saga Demon","R","No",0,0,0,0,"Near Mint (NM)",0.35,0.35,""
"Summon: Good King Mog XII","","=IMAGE(""https://cards.scryfall.io/normal/front/c/1/c14098d6-28ae-492f-8ffc-7d115d83ce6a.jpg?1783906365"", 1)","FIC","0026","Surge Foil","Surge Foil","Standard","FF14","Rare","Enchantment Creature — Saga Moogle","W","No",0,0,0,0,"Near Mint (NM)",0.4,"",""
"Summon: Good King Mog XII","","=IMAGE(""https://cards.scryfall.io/normal/front/3/a/3aabb93a-7fa2-4fb5-a683-db1d274ac367.jpg?1783906306"", 1)","FIC","0194","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Rare","Enchantment Creature — Saga Moogle","W","No",0,0,0,0,"Near Mint (NM)",6.72,9.49,""
"Summon: Good King Mog XII // Summon: Good King Mog XII","","=IMAGE(""https://cards.scryfall.io/normal/front/6/7/674c5221-9726-4c37-822a-73e60fa55cfa.jpg?1783906402"", 1)","AFIN","0041","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF14","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Summoning Materia","","=IMAGE(""https://cards.scryfall.io/normal/front/1/7/176401fb-f87c-4085-9dac-e6c8a843e32e.jpg?1783906350"", 1)","FIC","0072","Surge Foil","Surge Foil","Standard","FF7","Rare","Artifact — Equipment","G","No",0,0,0,0,"Near Mint (NM)",0.23,"",""
"Summoning Materia","","=IMAGE(""https://cards.scryfall.io/normal/front/c/b/cb916f4e-1aa4-4092-9dc6-7ba59fb87a05.jpg?1783906332"", 1)","FIC","0124","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF7","Rare","Artifact — Equipment","G","No",0,0,0,0,"Near Mint (NM)",0.61,1.56,""
"Summon: Ixion","","=IMAGE(""https://cards.scryfall.io/normal/front/a/c/acb35dcb-0bee-4deb-88bf-ffa1f110c67b.jpg?1783906365"", 1)","FIC","0027","Surge Foil","Surge Foil","Standard","FF10","Rare","Enchantment Creature — Saga Unicorn","W","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Summon: Ixion","","=IMAGE(""https://cards.scryfall.io/normal/front/9/2/92c0bfc2-ba98-48b6-82a4-95a2321c8df4.jpg?1783906306"", 1)","FIC","0195","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Rare","Enchantment Creature — Saga Unicorn","W","No",0,0,0,0,"Near Mint (NM)",6.34,12.83,""
"Summon: Knights of Round","","=IMAGE(""https://cards.scryfall.io/normal/front/4/4/44d23652-077e-4c1f-b640-b284685db911.jpg?1783906644"", 1)","FIN","0036","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF7","Mythic","Enchantment Creature — Saga Knight","W","No",0,0,0,0,"Near Mint (NM)",14.25,14.92,""
"Summon: Knights of Round","","=IMAGE(""https://cards.scryfall.io/normal/front/d/9/d9120fd0-f958-4ce3-82cd-0500d4549654.jpg?1783906194"", 1)","PFIN","36s","Promo","Traditional Foil, Promo","Standard","FF7","Mythic","Enchantment Creature — Saga Knight","W","No",0,0,0,0,"Near Mint (NM)","",38.58,""
"Summon: Knights of Round","","=IMAGE(""https://cards.scryfall.io/normal/front/b/8/b8a48466-6dc1-4874-9328-c7358e642f39.jpg?1783906519"", 1)","FIN","0359","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF7","Mythic","Enchantment Creature — Saga Knight","W","No",0,0,0,0,"Near Mint (NM)",24.6,33.96,""
"Summon: Kujata","","=IMAGE(""https://cards.scryfall.io/normal/front/b/a/ba934866-efd0-4126-b1ff-9c7e82b73bd6.jpg?1783906353"", 1)","FIC","0061","Surge Foil","Surge Foil","Standard","FF7","Rare","Enchantment Creature — Saga Ox","R","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Summon: Kujata","","=IMAGE(""https://cards.scryfall.io/normal/front/a/4/a469904f-f144-4e70-b689-c7869e40bcb2.jpg?1783906305"", 1)","FIC","0199","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF7","Rare","Enchantment Creature — Saga Ox","R","No",0,0,0,0,"Near Mint (NM)",2.46,5.21,""
"Summon: Leviathan","","=IMAGE(""https://cards.scryfall.io/normal/front/e/a/ea7f26a9-b203-4ee7-88f1-3d9c77a25bcb.jpg?1783906627"", 1)","FIN","0077","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Rare","Enchantment Creature — Saga Leviathan","U","No",0,0,0,0,"Near Mint (NM)",1.11,1.93,""
"Summon: Leviathan","","=IMAGE(""https://cards.scryfall.io/normal/front/2/2/22281ba1-d509-4039-83c7-d912a1ce5ac4.jpg?1783906185"", 1)","PFIN","77s","Promo","Traditional Foil, Promo","Standard","FF15","Rare","Enchantment Creature — Saga Leviathan","U","No",0,0,0,0,"Near Mint (NM)","",6.1,""
"Summon: Leviathan","","=IMAGE(""https://cards.scryfall.io/normal/front/4/c/4c6738f5-55cb-48f0-8e70-296d1c549cd3.jpg?1783906518"", 1)","FIN","0361","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Enchantment Creature — Saga Leviathan","U","No",0,0,0,0,"Near Mint (NM)",4.73,7.17,""
"Summon: Leviathan // Summon: Leviathan","","=IMAGE(""https://cards.scryfall.io/normal/front/7/e/7eb8d77f-8e60-47f7-8e5a-01baca70d554.jpg?1783906404"", 1)","AFIN","0038","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF15","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Summon: Magus Sisters","","=IMAGE(""https://cards.scryfall.io/normal/front/7/6/76a8cae7-e6ea-45eb-be8d-0e6a29b98aa6.jpg?1783906350"", 1)","FIC","0071","Surge Foil","Surge Foil","Standard","FF10","Rare","Enchantment Creature — Saga Faerie","G","No",0,0,0,0,"Near Mint (NM)",0.29,"",""
"Summon: Magus Sisters","","=IMAGE(""https://cards.scryfall.io/normal/front/8/3/83ba525d-d38e-4e68-9516-b6239a1b0b09.jpg?1783906305"", 1)","FIC","0200","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Rare","Enchantment Creature — Saga Faerie","G","No",0,0,0,0,"Near Mint (NM)",3.9,7.18,""
"Summon: Primal Garuda","","=IMAGE(""https://cards.scryfall.io/normal/front/e/4/e44497a8-067e-454e-a9c0-684f03df55ff.jpg?1783906643"", 1)","FIN","0037","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Uncommon","Enchantment Creature — Saga Harpy","W","No",0,0,0,0,"Near Mint (NM)",0.23,0.32,""
"Summon: Primal Garuda","","=IMAGE(""https://cards.scryfall.io/normal/front/f/6/f6ee6624-79be-4a76-8c12-80bf31f81ae2.jpg?1783906519"", 1)","FIN","0360","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Uncommon","Enchantment Creature — Saga Harpy","W","No",0,0,0,0,"Near Mint (NM)",0.51,0.68,""
"Summon: Primal Odin","","=IMAGE(""https://cards.scryfall.io/normal/front/8/b/8b1b5f06-e34d-44a3-976e-5157c4b7a0f4.jpg?1783906611"", 1)","FIN","0121","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Rare","Enchantment Creature — Saga Knight","B","No",0,0,0,0,"Near Mint (NM)",1.99,2.06,""
"Summon: Primal Odin","","=IMAGE(""https://cards.scryfall.io/normal/front/1/3/13e0ad67-35a6-48f3-83cb-5ffd07daf717.jpg?1783906180"", 1)","PFIN","121s","Promo","Traditional Foil, Promo","Standard","FF14","Rare","Enchantment Creature — Saga Knight","B","No",0,0,0,0,"Near Mint (NM)","",10.99,""
"Summon: Primal Odin","","=IMAGE(""https://cards.scryfall.io/normal/front/d/8/d8117e64-6e43-4aa8-90df-c5b21fbb9182.jpg?1783906518"", 1)","FIN","0365","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF14","Rare","Enchantment Creature — Saga Knight","B","No",0,0,0,0,"Near Mint (NM)",8.01,11.17,""
"Summon: Shiva","","=IMAGE(""https://cards.scryfall.io/normal/front/a/8/a80511f8-7cb1-4974-afde-8a5cebe13ad7.jpg?1783906628"", 1)","FIN","0078","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF10","Uncommon","Enchantment Creature — Saga Elemental","U","No",0,0,0,0,"Near Mint (NM)",0.24,0.31,""
"Summon: Shiva","","=IMAGE(""https://cards.scryfall.io/normal/front/3/4/340b2b03-1b20-411c-ba30-2be77655290a.jpg?1783906520"", 1)","FIN","0362","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Uncommon","Enchantment Creature — Saga Elemental","U","No",0,0,0,0,"Near Mint (NM)",1.13,1.28,""
"Summon: Titan","","=IMAGE(""https://cards.scryfall.io/normal/front/5/c/5ce6ea96-7293-496d-b9c8-8ed6d6109a4d.jpg?1783906580"", 1)","FIN","0204","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF15","Rare","Enchantment Creature — Saga Giant","G","No",0,0,0,0,"Near Mint (NM)",2.44,2.34,""
"Summon: Titan","","=IMAGE(""https://cards.scryfall.io/normal/front/1/e/1eb2a447-e18e-4318-898d-bc12fdd16172.jpg?1783906167"", 1)","PFIN","204s","Promo","Traditional Foil, Promo","Standard","FF15","Rare","Enchantment Creature — Saga Giant","G","No",0,0,0,0,"Near Mint (NM)","",5.38,""
"Summon: Titan","","=IMAGE(""https://cards.scryfall.io/normal/front/e/5/e5881485-7935-427e-911e-843f198d94dc.jpg?1783906513"", 1)","FIN","0373","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF15","Rare","Enchantment Creature — Saga Giant","G","No",0,0,0,0,"Near Mint (NM)",6.58,7.33,""
"Summon: Valefor","","=IMAGE(""https://cards.scryfall.io/normal/front/e/0/e0474d99-48e5-4e60-8cd6-537a10bcfea5.jpg?1783906359"", 1)","FIC","0042","Surge Foil","Surge Foil","Standard","FF10","Rare","Enchantment Creature — Saga Drake","U","No",0,0,0,0,"Near Mint (NM)",0.34,"",""
"Summon: Valefor","","=IMAGE(""https://cards.scryfall.io/normal/front/c/9/c95c1a97-4c9e-4d38-8b12-193f8ff0d556.jpg?1783906306"", 1)","FIC","0197","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Rare","Enchantment Creature — Saga Drake","U","No",0,0,0,0,"Near Mint (NM)",6.25,9.79,""
"Summon: Yojimbo","","=IMAGE(""https://cards.scryfall.io/normal/front/c/d/cdbc2d28-ea35-47c6-af7e-07924e9d5794.jpg?1783906365"", 1)","FIC","0028","Surge Foil","Surge Foil","Standard","FF10","Rare","Enchantment Creature — Saga Samurai","W","No",0,0,0,0,"Near Mint (NM)",1.18,"",""
"Summon: Yojimbo","","=IMAGE(""https://cards.scryfall.io/normal/front/f/b/fb7f1e73-183f-4041-907d-700e248ac5af.jpg?1783906307"", 1)","FIC","0196","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF10","Rare","Enchantment Creature — Saga Samurai","W","No",0,0,0,0,"Near Mint (NM)",9.69,20.21,""
"Sungrass Prairie","","=IMAGE(""https://cards.scryfall.io/normal/front/8/1/81e28e36-893f-4b34-aef7-5f2c15dc231c.jpg?1783906207"", 1)","FIC","0428","Surge Foil","Surge Foil","Standard","FF7","Rare","Land","GW","No",0,0,0,0,"Near Mint (NM)",0.27,"",""
"Sunken Hollow","","=IMAGE(""https://cards.scryfall.io/normal/front/3/e/3eb96a33-46db-4d84-9a7f-9bb6a19a1a93.jpg?1783906205"", 1)","FIC","0429","Surge Foil","Surge Foil","Standard","FF14","Rare","Land — Island Swamp","BU","No",0,0,0,0,"Near Mint (NM)",0.31,"",""
"Sunken Ruins","","=IMAGE(""https://cards.scryfall.io/normal/front/2/d/2dbd21b1-d6cf-4d10-8a31-aa52208c95d7.jpg?1783906206"", 1)","FIC","0430","Surge Foil","Surge Foil","Standard","FF14","Rare","Land","BU","No",0,0,0,0,"Near Mint (NM)",3.19,"",""
"Sunlit Marsh","","=IMAGE(""https://cards.scryfall.io/normal/front/4/b/4b163c67-2e88-4181-90c9-3f15eba59d03.jpg?1783906206"", 1)","FIC","0431","Surge Foil","Surge Foil","Standard","FF14","Common","Land — Plains Swamp","BW","No",0,0,0,0,"Near Mint (NM)",0.26,"",""
"Sunpetal Grove","","=IMAGE(""https://cards.scryfall.io/normal/front/5/b/5b0275b1-64bc-4c78-ac1a-9bd31399b946.jpg?1783906205"", 1)","FIC","0432","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","GW","No",0,0,0,0,"Near Mint (NM)",0.35,"",""
"Sunscorched Divide","","=IMAGE(""https://cards.scryfall.io/normal/front/8/4/84b648e4-d9c2-426f-8b2a-ef88e9eb25ac.jpg?1783906206"", 1)","FIC","0433","Surge Foil","Surge Foil","Standard","FF6","Rare","Land","RW","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Sunscorch Regent","","=IMAGE(""https://cards.scryfall.io/normal/front/2/5/25774e8c-bbc1-4a53-926c-7c01c2ac908f.jpg?1783906282"", 1)","FIC","0255","Surge Foil","Surge Foil","Standard","FF10","Rare","Creature — Dragon","W","No",0,0,0,0,"Near Mint (NM)",0.31,"",""
"Sun Titan","","=IMAGE(""https://cards.scryfall.io/normal/front/e/1/e135d544-2a3e-4b22-ae4d-6c2203769e2a.jpg?1783906282"", 1)","FIC","0254","Surge Foil","Surge Foil","Standard","FF6","Mythic","Creature — Giant","W","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Suplex","","=IMAGE(""https://cards.scryfall.io/normal/front/f/6/f61693a2-7042-44e0-85ba-9bf12ab94e7e.jpg?1783906595"", 1)","FIN","0164","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Common","Sorcery","R","No",0,0,0,0,"Near Mint (NM)",0.24,0.3,""
"Swallowed by Leviathan","","=IMAGE(""https://cards.scryfall.io/normal/front/2/2/2270642d-fe2a-4265-aff0-a24a43ebe0a1.jpg?1783906627"", 1)","FIN","0079","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF2","Uncommon","Instant","U","No",0,0,0,0,"Near Mint (NM)",0.23,0.32,""
"Swamp","","=IMAGE(""https://cards.scryfall.io/normal/front/6/c/6c0ea7e6-0659-4944-a997-f46e00340542.jpg?1783904643"", 1)","FIC","0480","Wave Foil","Wave Foil","Standard","FF15","Common","Basic Land — Swamp","B","No",0,0,0,0,"Near Mint (NM)","",2.81,""
"Swamp","","=IMAGE(""https://cards.scryfall.io/normal/front/f/6/f66094ef-059b-4511-aa6e-835906736de4.jpg?1783906542"", 1)","FIN","0300","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF14","Common","Basic Land — Swamp","B","No",0,0,0,0,"Near Mint (NM)",0.32,0.47,""
"Swamp","","=IMAGE(""https://cards.scryfall.io/normal/front/a/7/a7f56d20-16dc-4b7f-98bf-124817a83bae.jpg?1783906542"", 1)","FIN","0301","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF2","Common","Basic Land — Swamp","B","No",0,0,0,0,"Near Mint (NM)",0.3,0.34,""
"Swamp","","=IMAGE(""https://cards.scryfall.io/normal/front/0/8/08ec1e4f-e284-4216-a022-bd94c4dae02b.jpg?1783906542"", 1)","FIN","0302","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF5","Common","Basic Land — Swamp","B","No",0,0,0,0,"Near Mint (NM)",0.25,0.35,""
"Swamp","","=IMAGE(""https://cards.scryfall.io/normal/front/1/1/1176ebbf-4130-4e4e-ad49-65101a7357b4.jpg?1783906430"", 1)","FIN","0574","Surge Foil","Surge Foil","Showcase","FF14","Common","Basic Land — Swamp","B","No",0,0,0,0,"Near Mint (NM)","",2.27,""
"Swiftfoot Boots","","=IMAGE(""https://cards.scryfall.io/normal/front/1/b/1beee53e-9380-481e-86a6-d13645a6a5a5.jpg?1783906235"", 1)","FIC","0361","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",2.68,"",""
"Sword of the Animist","","=IMAGE(""https://cards.scryfall.io/normal/front/a/8/a822129c-0699-40e2-8639-c1a609a5ba3b.jpg?1783906233"", 1)","FIC","0362","Surge Foil","Surge Foil","Standard","FF7","Rare","Legendary Artifact — Equipment","Colorless","No",0,0,0,0,"Near Mint (NM)",5.13,"",""
"Swords to Plowshares","","=IMAGE(""https://cards.scryfall.io/normal/front/0/6/06554274-78ee-4bfc-b203-b81cb4639427.jpg?1783906280"", 1)","FIC","0256","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Instant","W","No",0,0,0,0,"Near Mint (NM)",1.41,"",""
"Syncopate","","=IMAGE(""https://cards.scryfall.io/normal/front/8/3/83e1cd8d-5b97-427a-be75-2a1947f9c59b.jpg?1783906627"", 1)","FIN","0080","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF10","Common","Instant","U","No",0,0,0,0,"Near Mint (NM)",0.16,0.3,""
"Syphon Mind","","=IMAGE(""https://cards.scryfall.io/normal/front/6/0/601be092-2353-4b86-ac01-e8fbdbed29b7.jpg?1783906265"", 1)","FIC","0288","Surge Foil","Surge Foil","Standard","FF14","Common","Sorcery","B","No",0,0,0,0,"Near Mint (NM)",0.37,"",""
"Golbez, Clad In Darkness","Syr Konrad, the Grim","=IMAGE(""https://cards.scryfall.io/normal/front/5/b/5b40815d-0104-461e-b193-fcf5e1f35299.jpg?1783906394"", 1)","FCA","0010","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF4","Uncommon","Legendary Creature — Human Knight","B","No",0,0,0,0,"Near Mint (NM)",1.3,5.69,""
"Talisman of Conviction","","=IMAGE(""https://cards.scryfall.io/normal/front/0/2/029fb369-f5ef-4768-8c0b-23d3cfd023d9.jpg?1783906233"", 1)","FIC","0363","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Artifact","RW","No",0,0,0,0,"Near Mint (NM)",0.32,"",""
"Talisman of Dominance","","=IMAGE(""https://cards.scryfall.io/normal/front/c/7/c7fb7ff7-aef0-4893-a120-e17a082cd07f.jpg?1783906235"", 1)","FIC","0364","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Artifact","BU","No",0,0,0,0,"Near Mint (NM)",1.61,"",""
"Talisman of Hierarchy","","=IMAGE(""https://cards.scryfall.io/normal/front/7/9/79696e14-837f-431a-b5fb-fe3620bb8262.jpg?1783906234"", 1)","FIC","0365","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Artifact","BW","No",0,0,0,0,"Near Mint (NM)",0.45,"",""
"Talisman of Indulgence","","=IMAGE(""https://cards.scryfall.io/normal/front/0/f/0f7b46ae-2cd4-407b-a97a-d112a5b6b86b.jpg?1783906232"", 1)","FIC","0366","Surge Foil","Surge Foil","Standard","FF6","Uncommon","Artifact","BR","No",0,0,0,0,"Near Mint (NM)",1.96,"",""
"Talisman of Progress","","=IMAGE(""https://cards.scryfall.io/normal/front/2/d/2dc4dfe7-ae80-4a6e-b588-fd497c35fe37.jpg?1783906232"", 1)","FIC","0367","Surge Foil","Surge Foil","Standard","FF14","Uncommon","Artifact","UW","No",0,0,0,0,"Near Mint (NM)",0.39,"",""
"Tangled Islet","","=IMAGE(""https://cards.scryfall.io/normal/front/d/e/defd23e2-9459-45b1-ba18-3661b220fac6.jpg?1783906204"", 1)","FIC","0434","Surge Foil","Surge Foil","Standard","FF10","Common","Land — Forest Island","GU","No",0,0,0,0,"Near Mint (NM)",0.28,"",""
"Tataru Taru","","=IMAGE(""https://cards.scryfall.io/normal/front/9/3/93176e85-2343-43a8-8578-69699b464b86.jpg?1783906365"", 1)","FIC","0030","Surge Foil","Surge Foil","Standard","FF14","Rare","Legendary Creature — Dwarf Advisor","W","No",0,0,0,0,"Near Mint (NM)",9.26,"",""
"Tataru Taru","","=IMAGE(""https://cards.scryfall.io/normal/front/5/4/545c98b3-dc78-4070-8dcb-f6a246abce09.jpg?1783904647"", 1)","FIC","0466","Wave Foil","Wave Foil","Borderless","FF14","Rare","Legendary Creature — Dwarf Advisor","W","No",0,0,0,0,"Near Mint (NM)","",184.33,""
"Tataru Taru","","=IMAGE(""https://cards.scryfall.io/normal/front/8/c/8c832508-e6f8-4581-8424-744f4e24fad2.jpg?1783906327"", 1)","FIC","0138","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF14","Rare","Legendary Creature — Dwarf Advisor","W","No",0,0,0,0,"Near Mint (NM)",11.68,32.58,""
"Tataru Taru // Tataru Taru","","=IMAGE(""https://cards.scryfall.io/normal/front/e/0/e0da27b5-9586-4d66-b052-1efb86a34704.jpg?1783906411"", 1)","AFIN","0025","Basic/Non-foil","Non-Foil, Traditional Foil","Art Card","FF14","Common","Card // Card","Colorless","No",0,0,0,0,"Near Mint (NM)","","",""
"Edea Kramer","Teferi, Mage of Zhalfir","=IMAGE(""https://cards.scryfall.io/normal/front/9/c/9ca8fdd4-7e62-4475-9aed-c227ab3977f7.jpg?1783906384"", 1)","FCA","0032","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF8","Rare","Legendary Creature — Human Wizard","U","No",0,0,0,0,"Near Mint (NM)",1.85,15.07,""
"Tellah, Great Sage","","=IMAGE(""https://cards.scryfall.io/normal/front/a/6/a67793ef-ef80-4434-9c54-e3fd8a270bbe.jpg?1783906561"", 1)","FIN","0244","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF4","Rare","Legendary Creature — Human Wizard","RU","No",0,0,0,0,"Near Mint (NM)",0.33,0.38,""
"Tellah, Great Sage","","=IMAGE(""https://cards.scryfall.io/normal/front/8/9/8952beec-fd8e-481c-aea7-e3105fb5bcc9.jpg?1783906156"", 1)","PFIN","244s","Promo","Traditional Foil, Promo","Standard","FF4","Rare","Legendary Creature — Human Wizard","RU","No",0,0,0,0,"Near Mint (NM)","",3.13,""
"Tellah, Great Sage","","=IMAGE(""https://cards.scryfall.io/normal/front/0/d/0dcb6a53-ad1b-465b-8d4c-f2c8b2b29e25.jpg?1783906523"", 1)","FIN","0349","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF4","Rare","Legendary Creature — Human Wizard","RU","No",0,0,0,0,"Near Mint (NM)",1.75,2.36,""
"Tellah, Great Sage","","=IMAGE(""https://cards.scryfall.io/normal/front/e/0/e0c5f3d5-ca17-4d4c-8de4-3559d6c6fe94.jpg?1783906456"", 1)","FIN","0510","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF4","Rare","Legendary Creature — Human Wizard","RU","No",0,0,0,0,"Near Mint (NM)",0.99,4.95,""
"Temple of Enlightenment","","=IMAGE(""https://cards.scryfall.io/normal/front/f/c/fc99e7b0-0f2c-4a2b-938b-abd31b71cd4f.jpg?1783906205"", 1)","FIC","0435","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","UW","No",0,0,0,0,"Near Mint (NM)",0.34,"",""
"Temple of Mystery","","=IMAGE(""https://cards.scryfall.io/normal/front/3/e/3ede4ff9-b0f6-4075-b7ad-3ec90497d0f6.jpg?1783906204"", 1)","FIC","0436","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","GU","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Temple of Plenty","","=IMAGE(""https://cards.scryfall.io/normal/front/0/4/04dc78e1-50d8-493a-9c1f-9c1d95343fff.jpg?1783906203"", 1)","FIC","0437","Surge Foil","Surge Foil","Standard","FF10","Rare","Land","GW","No",0,0,0,0,"Near Mint (NM)",0.24,"",""
"Temple of the False God","","=IMAGE(""https://cards.scryfall.io/normal/front/f/1/f1cb4775-8e14-4c83-a417-40d1432ac90a.jpg?1783906202"", 1)","FIC","0438","Surge Foil","Surge Foil","Standard","FF10","Uncommon","Land","Colorless","No",0,0,0,0,"Near Mint (NM)",0.27,"",""
"Terra, Herald of Hope","","=IMAGE(""https://cards.scryfall.io/normal/front/5/a/5aa1a2d7-6133-41a9-9662-9008d1309935.jpg?1783906373"", 1)","FIC","0004","Basic/Non-foil","Non-Foil, Traditional Foil","Standard","FF6","Mythic","Legendary Creature — Human Wizard Warrior","BRW","No",0,0,0,0,"Near Mint (NM)",1.39,0.41,""
"Terra, Herald of Hope","","=IMAGE(""https://cards.scryfall.io/normal/front/e/0/e0946131-2cda-4850-912e-cb8a8124685b.jpg?1783906309"", 1)","FIC","0186","Basic/Non-foil","Non-Foil, Traditional Foil","Extended Art","FF6","Mythic","Legendary Creature — Human Wizard Warrior","BRW","No",0,0,0,0,"Near Mint (NM)",3.33,9.57,""
"Terra, Herald of Hope","","=IMAGE(""https://cards.scryfall.io/normal/front/9/0/901bd4dc-ebd3-40af-9fb0-57a8719329a4.jpg?1783906302"", 1)","FIC","0204","Basic/Non-foil","Non-Foil, Traditional Foil","Borderless","FF6","Mythic","Legendary Creature — Human Wizard Warrior","BRW","No",0,0,0,0,"Near Mint (NM)",50.82,85.15,""
"Terra, Herald of Hope","","=IMAGE(""https://cards.scryfall.io/normal/front/b/b/bb077546-d0f6-4b74-bc59-3c6a50fbc4f2.jpg?1783906300"", 1)","FIC","0212","Surge Foil","Surge Foil","Borderless","FF6","Mythic","Legendary Creature — Human Wizard Warrior","BRW","No",0,0,0,0,"Near Mint (NM)","",346.77,""
